(0, 9, 4, 3, 1, 6, 8, 2, 7, 5)
(0, 9, 5, 7, 2, 4, 3, 1, 6, 8)
(0, 9, 3, 4, 2, 7, 5, 1, 6, 8)
(0, 9, 5, 7, 2, 4, 3, 1, 6, 8)
(0, 8, 1, 3, 4, 2, 7, 6, 5, 9)
(0, 9, 5, 3, 4, 2, 7, 6, 1, 8)
(0, 9, 4, 3, 2, 7, 5, 6, 1, 8)
(0, 8, 1, 6, 5, 7, 2, 3, 4, 9)
(0, 9, 5, 7, 2, 4, 3, 1, 6, 8)
(0, 8, 6, 1, 5, 7, 2, 4, 3, 9)
(0, 8, 6, 5, 7, 2, 4, 3, 1, 9)
(0, 6, 1, 3, 4, 9, 5, 7, 2, 8)
(0, 8, 9, 4, 5, 7, 2, 3, 1, 6)
(0, 9, 4, 3, 5, 7, 2, 1, 6, 8)
(0, 9, 4, 3, 1, 8, 2, 7, 5, 6)
(0, 9, 3, 1, 6, 5, 7, 2, 4, 8)
(0, 8, 1, 3, 9, 4, 2, 7, 5, 6)
(0, 8, 9, 3, 4, 2, 1, 6, 7, 5)
(0, 6, 1, 8, 5, 7, 2, 4, 3, 9)
(0, 8, 6, 1, 2, 7, 5, 4, 3, 9)
(0, 9, 4, 3, 2, 5, 7, 6, 1, 8)
(0, 9, 3, 4, 2, 5, 7, 6, 1, 8)
(0, 3, 9, 4, 2, 7, 5, 6, 1, 8)
(0, 3, 4, 2, 7, 5, 6, 1, 8, 9)
(0, 9, 3, 4, 2, 7, 5, 6, 1, 8)
(0, 8, 1, 5, 6, 7, 2, 4, 3, 9)
(0, 9, 1, 3, 4, 2, 7, 5, 6, 8)
(0, 8, 6, 1, 5, 7, 2, 3, 4, 9)
(0, 8, 6, 1, 3, 4, 2, 7, 5, 9)
(0, 8, 6, 1, 3, 2, 7, 5, 4, 9)

